ClassId,EN,TR
0,sister,abla
1,hurry,acele
2,hungry,acıkmak
3,enjoy_your_meal,afiyet olsun
4,brother,ağabey
5,tree,ağaç
6,heavy,ağır
7,cry,ağlamak
8,family,aile
9,wise,akıllı
10,unwise,akılsız
11,kin,akraba
12,shopping,alışveriş
13,key,anahtar
14,mother,anne
15,friend,arkadaş
16,ataturk,atatürk
17,shoe,ayakkabı
18,mirror,ayna
19,same,aynı
20,father,baba
21,garden,bahçe
22,look,bakmak
23,honey,bal
24,glass,bardak
25,flag,bayrak
26,feast,bayram
27,baby,bebek
28,single,bekar
29,wait,beklemek
30,I,ben
31,petrol,benzin
32,together,beraber
33,inform,bilgi vermek
34,we,biz
35,work,çalışmak
36,wednesday,çarşamba
37,fork,çatal
38,tea,çay
39,teapot,çaydanlık
40,hammer,çekiç
41,ugly,çirkin
42,child,çocuk
43,soup,çorba
44,friday,cuma
45,saturday,cumartesi
46,wallet,cüzdan
47,minute,dakika
48,grandfather,dede
49,change,değiştirmek
50,topple,devirmek
51,government,devlet
52,doctor,doktor
53,full,dolu
54,wedding,düğün
55,yesterday,dün
56,enemy,düşman
57,wall,duvar
58,pharmacy,eczane
59,glove,eldiven
60,labor,emek
61,retired,emekli
62,male,erkek
63,meal,et
64,house,ev
65,yes,evet
66,married,evli
67,memorize,ezberlemek
68,elephant,fil
69,photograph,fotoğraf
70,football,futbol
71,past,geçmiş
72,get_well,geçmiş olsun
73,bring,getirmek
74,lake,göl
75,shirt,gömlek
76,see,görmek
77,show,göstermek
78,laugh,gülmek
79,lightweight,hafif
80,right,haklı
81,carpet,halı
82,ill,hasta
83,hospital,hastane
84,fault,hata
85,towel,havlu
86,no,hayır
87,congratulations,hayırlı olsun
88,animal,hayvan
89,gift,hediye
90,halal,helal
91,always,hep
92,never,hiç
93,goodbye,hoşçakal
94,drink,içmek
95,needle,iğne
96,medicine,ilaç
97,not_interested,ilgilenmemek
98,light,ışık
99,push,itmek
100,good,iyi
101,escape,kaçmak
102,breakfast,kahvaltı
103,pencil,kalem
104,radiator,kalorifer
105,door,kapı
106,sibling,kardeş
107,crossroads,kavşak
108,accident,kaza
109,belt,kemer
110,if_only,keşke
111,who,kim
112,identity,kimlik
113,rent,kira
114,book,kitap
115,mince,kıyma
116,female,kız
117,smell,koku
118,cologne,kolonya
119,coal,kömür
120,dog,köpek
121,bridge,köprü
122,bad,kötü
123,lap,kucak
124,stain,leke
125,salary,maaş
126,scissors,makas
127,tongs,masa
128,god_preserve,maşallah
129,angel,melek
130,be_pleased,memnun olmak
131,napkin,mendil
132,stairs,merdiven
133,guest,misafir
134,manager,müdür
135,tap,musluk
136,how,nasıl
137,why,neden
138,where,nerede
139,grandmother,nine
140,oven,ocak
141,room,oda
142,wood,odun
143,teacher,öğretmen
144,school,okul
145,olympiad,olimpiyat
146,nope,olmaz
147,allright,olur
148,they,onlar
149,forest,orman
150,fasting,oruç
151,apologize,özür dilemek
152,cotton,pamuk
153,trousers,pantolon
154,money,para
155,pastrami,pastırma
156,potato,patates
157,sunday,pazar
158,monday,pazartesi
159,window,pencere
160,thursday,perşembe
161,picnic,piknik
162,police,polis
163,psychology,psikoloji
164,request,rica etmek
165,hour,saat
166,soap,sabun
167,sauce,salça
168,tuesday,salı
169,champion,şampiyon
170,hat,şapka
171,war,savaş
172,sugar,şeker
173,hi,selam
174,umbrella,şemsiye
175,you,sen
176,bill,senet
177,free,serbest
178,voice,ses
179,love,sevmek
180,evil,şeytan
181,border,sınır
182,you,siz
183,say,söylemek
184,promise,söz
185,milk,süt
186,okay,tamam
187,comb,tarak
188,date,tarih
189,holiday,tatil
190,sweet,tatlı
191,ceiling,tavan
192,danger,tehlike
193,telephone,telefon
194,scales,terazi
195,tailor,terzi
196,thanks,teşekkür
197,screwdriver,tornavida
198,turkey,türkiye
199,orange,turuncu
200,toilet,tuvalet
201,flour,un
202,far,uzak
203,sad,üzgün
204,existing,var
205,tax,vergi
206,near,yakın
207,alone,yalnız
208,wrong,yanlış
209,do,yapmak
210,band-aid,yarabandı
211,help,yardım
212,tomorrow,yarın
213,forbidden,yasak
214,pillow,yastık
215,bed,yatak
216,slow,yavaş
217,eat,yemek
218,cook,yemek pişirmek
219,star,yıldız
220,absent,yok
221,road,yol
222,tired,yorgun
223,egg,yumurta
224,time,zaman
225,difficult,zor
